# ell    tt_lensed   ee_lensed   bb_lensed   te_lensed   tt_unlensed ee_unlensed bb_unlensed te_unlensed kk
117 3.232190e+03 9.523983e-01 3.863741e-03 -3.340805e+01 1.469990e+00 4.321324e-04 0.000000e+00 -1.522286e-02 4.009458e+00
118 3.265743e+03 9.619125e-01 3.932220e-03 -3.397335e+01 1.460304e+00 4.291064e-04 0.000000e+00 -1.522087e-02 4.120817e+00
119 3.299385e+03 9.710581e-01 4.001406e-03 -3.452935e+01 1.450775e+00 4.259579e-04 0.000000e+00 -1.521274e-02 4.234102e+00
120 3.333108e+03 9.798282e-01 4.071305e-03 -3.507548e+01 1.441396e+00 4.226913e-04 0.000000e+00 -1.519854e-02 4.349326e+00
121 3.366905e+03 9.882089e-01 4.141925e-03 -3.561118e+01 1.432160e+00 4.193077e-04 0.000000e+00 -1.517832e-02 4.466498e+00
122 3.400761e+03 9.961932e-01 4.213271e-03 -3.613602e+01 1.423058e+00 4.158113e-04 0.000000e+00 -1.515220e-02 4.585633e+00
123 3.434677e+03 1.003775e+00 4.285350e-03 -3.664944e+01 1.414087e+00 4.122060e-04 0.000000e+00 -1.512025e-02 4.706741e+00
124 3.468645e+03 1.010939e+00 4.358170e-03 -3.715087e+01 1.405242e+00 4.084927e-04 0.000000e+00 -1.508252e-02 4.829834e+00
125 3.502650e+03 1.017687e+00 4.431738e-03 -3.763988e+01 1.396513e+00 4.046781e-04 0.000000e+00 -1.503913e-02 4.954926e+00
126 3.536693e+03 1.024004e+00 4.506060e-03 -3.811598e+01 1.387899e+00 4.007629e-04 0.000000e+00 -1.499017e-02 5.082028e+00
127 3.570759e+03 1.029892e+00 4.581143e-03 -3.857861e+01 1.379392e+00 3.967534e-04 0.000000e+00 -1.493570e-02 5.211151e+00
128 3.604842e+03 1.035336e+00 4.656996e-03 -3.902734e+01 1.370987e+00 3.926500e-04 0.000000e+00 -1.487583e-02 5.342310e+00
129 3.638940e+03 1.040337e+00 4.733625e-03 -3.946167e+01 1.362684e+00 3.884587e-04 0.000000e+00 -1.481064e-02 5.475516e+00
130 3.673039e+03 1.044881e+00 4.811038e-03 -3.988105e+01 1.354474e+00 3.841797e-04 0.000000e+00 -1.474019e-02 5.610782e+00
131 3.707125e+03 1.048968e+00 4.889242e-03 -4.028505e+01 1.346351e+00 3.798188e-04 0.000000e+00 -1.466459e-02 5.748119e+00
132 3.741206e+03 1.052599e+00 4.968244e-03 -4.067318e+01 1.338317e+00 3.753813e-04 0.000000e+00 -1.458391e-02 5.887539e+00
133 3.775260e+03 1.055761e+00 5.048051e-03 -4.104500e+01 1.330363e+00 3.708671e-04 0.000000e+00 -1.449825e-02 6.029053e+00
