,index,ra_deg,dec_deg,redshift,1.4GHz_flux,30GHz_flux,90GHz_flux,148GHz_flux,219GHz_flux,277GHz_flux,350GHz_flux
115,115,5.104945,7.015781,0.34940,5.92434e-02,2.83602e-02,2.42576e-02,1.70900e-02,1.10103e-02,7.84456e-03,5.28618e-03
116,116,6.454537,7.055002,0.34920,2.27908e-01,1.99744e-02,8.17693e-03,5.47344e-03,3.99698e-03,3.31155e-03,2.74622e-03
117,117,7.121037,5.565561,0.35580,6.72095e-01,6.08486e-02,2.38251e-02,1.59135e-02,1.16213e-02,9.62904e-03,7.98547e-03
118,118,5.527978,5.922526,0.36080,1.37062e-01,1.15495e-02,4.79090e-03,3.21811e-03,2.35210e-03,1.94907e-03,1.61643e-03
119,119,5.242251,4.890117,0.36420,1.10780e+00,8.97768e-02,3.72404e-02,2.50149e-02,1.82832e-02,1.51504e-02,1.25647e-02
120,120,5.284783,6.074775,0.37200,5.48487e-02,4.69836e-03,1.94669e-03,1.30756e-03,9.55682e-04,7.91926e-04,6.56771e-04
121,121,5.298337,6.065858,0.37200,3.60545e-01,3.10104e-02,1.28690e-02,8.64419e-03,6.31798e-03,5.23540e-03,4.34189e-03
122,122,6.993766,5.738052,0.37480,2.79083e-01,2.39164e-02,9.91959e-03,6.66309e-03,4.87001e-03,4.03554e-03,3.34681e-03
123,123,6.311021,6.963506,0.37580,1.80854e-01,1.55783e-02,6.45906e-03,4.33855e-03,3.17102e-03,2.62767e-03,2.17921e-03
124,124,4.856170,7.164158,0.38400,7.39330e-02,6.83706e-03,2.90020e-03,1.91257e-03,1.36648e-03,1.11671e-03,9.14804e-04
125,125,5.401559,4.828486,0.39560,2.13544e-01,1.83899e-02,7.59078e-03,5.09832e-03,3.72631e-03,3.08781e-03,2.56083e-03
126,126,6.172257,5.079903,0.40320,1.48956e-01,1.26730e-02,5.22322e-03,3.50826e-03,2.56416e-03,2.12479e-03,1.76216e-03
127,127,6.164179,5.082504,0.40320,2.61732e-01,2.25353e-02,9.35335e-03,6.28275e-03,4.59202e-03,3.80518e-03,3.15577e-03
128,128,6.133177,5.632624,0.40780,5.95848e-02,6.04388e-03,2.33710e-03,1.48242e-03,1.05531e-03,8.67694e-04,7.16827e-04
129,129,7.025129,5.059686,0.40780,1.48491e-01,1.26521e-02,5.25290e-03,3.52844e-03,2.57892e-03,2.13702e-03,1.77230e-03
130,130,7.016048,5.050253,0.40780,5.42856e-02,4.69243e-03,1.94035e-03,1.30305e-03,9.52365e-04,7.89176e-04,6.54490e-04
131,131,7.041956,5.053391,0.40780,1.33292e-01,1.73478e-02,1.32174e-02,1.07376e-02,8.21654e-03,6.63284e-03,5.13793e-03
132,132,7.032065,5.064822,0.40780,1.96395e-01,1.65797e-02,6.88414e-03,4.62417e-03,3.37978e-03,2.80066e-03,2.32268e-03
133,133,7.029982,5.057309,0.40780,8.79071e-02,8.35953e-03,3.16015e-03,2.08726e-03,1.51999e-03,1.25876e-03,1.04372e-03
134,134,7.024891,5.079371,0.40780,9.22774e-02,7.89249e-03,3.27644e-03,2.20083e-03,1.60857e-03,1.33295e-03,1.10546e-03
135,135,6.120878,5.416377,0.40680,9.53577e-02,8.96491e-03,3.52808e-03,2.31099e-03,1.67396e-03,1.38406e-03,1.14675e-03
136,136,6.115509,5.411486,0.40680,1.96891e-01,4.16762e-02,7.33845e-02,9.14727e-02,9.95715e-02,9.97834e-02,9.59177e-02
137,137,6.989137,5.515627,0.41550,6.15186e-02,5.29063e-03,2.19296e-03,1.47291e-03,1.07653e-03,8.92066e-04,7.39820e-04
138,138,7.004560,5.501180,0.41550,6.80549e-02,5.84077e-03,2.42516e-03,1.62902e-03,1.19064e-03,9.86622e-04,8.18239e-04
139,139,6.575148,6.174093,0.41530,3.35287e-01,2.86617e-02,1.18621e-02,7.96770e-03,5.82353e-03,4.82567e-03,4.00209e-03
140,140,6.587917,6.177197,0.41530,2.34500e-01,1.39121e-02,5.60024e-03,3.76005e-03,2.74811e-03,2.27722e-03,1.88857e-03
141,141,6.921980,7.121256,0.42080,2.70058e-01,2.27552e-02,9.44776e-03,6.34620e-03,4.63839e-03,3.84361e-03,3.18763e-03
142,142,7.129036,5.635206,0.42640,1.47386e-01,1.32029e-02,5.30061e-03,3.52407e-03,2.56601e-03,2.12411e-03,1.76068e-03
143,143,6.475468,5.578826,0.42990,1.37623e-01,1.18119e-02,4.90289e-03,3.29333e-03,2.40707e-03,1.99462e-03,1.65421e-03
144,144,6.245473,5.345561,0.43070,2.81005e-01,2.44629e-02,1.00306e-02,6.72223e-03,4.91022e-03,4.06833e-03,3.37382e-03
145,145,6.241076,5.348744,0.43070,1.05864e-01,1.02090e-02,3.91102e-03,2.55188e-03,1.84742e-03,1.52744e-03,1.26556e-03
146,146,6.244783,5.344508,0.43070,1.82064e-01,1.54915e-02,6.43238e-03,4.32072e-03,3.15799e-03,2.61687e-03,2.17026e-03
147,147,6.254353,5.341597,0.43070,3.80299e-01,3.55793e-02,9.69502e-03,6.09139e-03,4.37975e-03,3.61721e-03,2.99586e-03
148,148,6.257666,5.337757,0.43070,2.58010e-01,2.05519e-02,8.53180e-03,5.73093e-03,4.18870e-03,3.47097e-03,2.87859e-03
149,149,6.253420,5.344941,0.43070,9.97786e-02,9.54665e-03,3.61899e-03,2.37514e-03,1.72455e-03,1.42704e-03,1.18283e-03
150,150,6.221406,5.351787,0.43070,1.87112e-01,1.52803e-02,5.50475e-03,3.67674e-03,2.68582e-03,2.22549e-03,1.84566e-03
151,151,5.869761,5.688164,0.42830,4.51137e-01,3.84632e-02,1.59701e-02,1.07273e-02,7.84053e-03,6.49706e-03,5.38823e-03
152,152,6.040031,5.732129,0.43110,2.91637e-01,2.48524e-02,1.03140e-02,6.92803e-03,5.06365e-03,4.19600e-03,3.47988e-03
153,153,6.965957,6.619707,0.43610,5.41242e-02,4.65491e-03,1.92181e-03,1.29039e-03,9.43082e-04,7.81479e-04,6.48105e-04
154,154,6.979725,6.625088,0.43610,6.77740e-02,5.82997e-03,2.42055e-03,1.62592e-03,1.18837e-03,9.84747e-04,8.16684e-04
155,155,7.132451,7.050433,0.43940,1.95337e-01,1.58355e-02,6.54169e-03,4.39384e-03,3.21141e-03,2.66114e-03,2.20697e-03
156,156,7.121102,7.046941,0.43940,3.18785e-01,2.74514e-02,1.13748e-02,7.64024e-03,5.58419e-03,4.62734e-03,3.83761e-03
157,157,4.818137,4.949579,0.43940,7.30530e-02,6.24178e-03,2.58844e-03,1.73868e-03,1.27079e-03,1.05304e-03,8.73322e-04
158,158,4.801942,4.951215,0.43940,5.16277e-01,4.45025e-02,1.84124e-02,1.23672e-02,9.03909e-03,7.49025e-03,6.21191e-03
159,159,4.828610,4.948046,0.43940,6.46415e-02,5.55636e-03,2.30486e-03,1.54820e-03,1.13157e-03,9.37675e-04,7.77645e-04
160,160,4.935099,5.910427,0.43770,2.46661e-01,2.28131e-02,9.07208e-03,5.96839e-03,4.32822e-03,3.57930e-03,2.96569e-03
161,161,4.935414,5.900360,0.43770,8.56421e-02,7.28745e-03,3.01382e-03,2.02436e-03,1.47959e-03,1.22606e-03,1.01681e-03
162,162,4.939782,5.908452,0.43770,7.42085e-01,7.00245e-02,2.55100e-02,1.70209e-02,1.24327e-02,1.03019e-02,8.54359e-03
163,163,4.870686,5.553109,0.44140,2.20588e-01,1.89877e-02,7.81278e-03,5.24709e-03,3.83503e-03,3.17790e-03,2.63554e-03
164,164,5.031092,5.460471,0.44290,1.33280e+00,1.14756e-01,4.76151e-02,3.19833e-02,2.33764e-02,1.93709e-02,1.60649e-02
165,165,6.083616,6.907840,0.44440,2.02316e-01,1.74105e-02,7.22662e-03,4.85420e-03,3.54790e-03,2.93997e-03,2.43822e-03
166,166,6.080355,6.906082,0.44440,1.18560e-01,7.59807e-03,3.12283e-03,2.09755e-03,1.53308e-03,1.27039e-03,1.05358e-03
167,167,6.080783,6.906973,0.44440,1.80457e-01,1.56257e-02,6.29927e-03,4.21515e-03,3.07797e-03,2.55008e-03,2.11470e-03
168,168,5.362534,6.304871,0.45130,2.98332e-01,2.53176e-02,1.05125e-02,7.06140e-03,5.16113e-03,4.27677e-03,3.54687e-03
169,169,5.017138,5.389590,0.45830,8.71079e-02,7.59512e-03,3.10333e-03,2.07945e-03,1.51899e-03,1.25857e-03,1.04373e-03
170,170,5.313170,5.501923,0.45740,2.40930e-01,2.06577e-02,8.57678e-03,5.76114e-03,4.21078e-03,3.48927e-03,2.89377e-03
171,171,5.322955,5.501203,0.45740,1.11549e-01,1.12227e-02,5.90953e-03,4.22960e-03,3.07070e-03,2.46653e-03,1.94778e-03
172,172,7.199400,6.690847,0.46100,2.26528e-01,1.86702e-02,7.59643e-03,5.09705e-03,3.72479e-03,3.08648e-03,2.55970e-03
173,173,4.998557,5.904323,0.46320,4.15525e-01,3.57308e-02,1.47497e-02,9.90141e-03,7.23587e-03,5.99585e-03,4.97251e-03
174,174,6.923506,6.901069,0.46450,1.43851e-01,1.64796e-02,8.97095e-03,6.22379e-03,4.35143e-03,3.41122e-03,2.63219e-03
175,175,6.910352,6.913445,0.46450,2.79214e-01,2.39082e-02,9.92292e-03,6.66536e-03,4.87167e-03,4.03691e-03,3.34795e-03
176,176,6.940135,6.816923,0.46420,3.01950e-01,2.60496e-02,1.07951e-02,7.25058e-03,5.29936e-03,4.39131e-03,3.64186e-03
177,177,6.954346,6.805086,0.46420,2.14527e-01,1.81154e-02,7.51992e-03,5.05123e-03,3.69191e-03,3.05931e-03,2.53719e-03
178,178,7.111263,6.828269,0.46530,1.02734e-01,1.12410e-02,4.28627e-03,2.64243e-03,1.84426e-03,1.50458e-03,1.23705e-03
179,179,6.451696,6.113470,0.46830,2.12158e-01,1.84273e-02,7.51581e-03,5.04435e-03,3.68659e-03,3.05487e-03,2.53350e-03
180,180,6.442648,6.111427,0.46830,1.69241e-01,1.45507e-02,6.04146e-03,4.05813e-03,2.96606e-03,2.45783e-03,2.03836e-03
181,181,4.994923,5.922286,0.46720,8.54954e-02,7.35159e-03,3.04228e-03,2.04346e-03,1.49355e-03,1.23763e-03,1.02641e-03
