,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
191891,5.109159,6.366968999999998,1.94832,0.0651737,0.00586383,0.00235537,0.00156571,0.00114016,0.000943873,0.000782422
191892,5.103848,6.365803999999997,1.94832,0.114245,0.0097898,0.00406515,0.00273062,0.00199579,0.00165381,0.00137156
191893,6.244808,3.9635870000000057,1.94833,0.190457,0.0161624,0.00670347,0.00450281,0.00329107,0.00272715,0.00226172
191894,10.154681000000002,6.545101999999996,1.94835,1.51024,0.129855,0.0539214,0.0362198,0.0264728,0.0219367,0.0181929
191895,2.309178,5.070397999999999,1.94837,0.498237,0.0432831,0.0178507,0.0119701,0.00874476,0.00724563,0.00600881
191896,4.086654,9.274568000000006,1.94839,0.221536,0.019009,0.00789287,0.00530175,0.00387502,0.00321103,0.00266302
191897,4.456541,8.154879999999999,1.9484,0.0535736,0.00460141,0.00191071,0.00128345,0.000938064,0.000777328,0.000644664
191898,7.42287,1.1069590000000056,1.94843,0.0125131,0.0731223,0.0737596,0.0521326,0.0327983,0.0227334,0.0147054
191899,2.954216,8.711244,1.94846,0.0691818,0.00586142,0.00243392,0.0016349,0.00119493,0.000990183,0.000821193
191901,9.236451,11.313165999999995,1.94847,0.0634483,0.00472628,0.00196199,0.0013179,0.000963243,0.000798192,0.000661968
191902,11.44039,9.376374000000002,1.94858,0.0839449,0.00695394,0.0028872,0.00193938,0.00141748,0.00117459,0.00097413
191903,11.43657,9.374939999999993,1.94858,0.0863024,0.00733026,0.0030434,0.0020443,0.00149416,0.00123814,0.00102683
191904,6.0197020000000006,2.9052029999999984,1.94867,0.681585,0.0587583,0.0243642,0.0163647,0.0119608,0.00991128,0.00821976
191905,8.348,3.7973520000000054,1.94877,0.0596648,0.00505403,0.00209545,0.00140754,0.00102876,0.000852482,0.000706992
191906,6.66506,10.805522999999996,1.94877,0.0914798,0.00785218,0.00326053,0.00219015,0.00160076,0.00132647,0.00110009
191907,4.046633,7.523836999999997,1.94883,0.164504,0.0405714,0.0198917,0.0108083,0.005993,0.00412316,0.0028651
191908,1.078021,11.212369000000006,1.94888,1.22345,0.103972,0.0428271,0.028763,0.0210225,0.0174203,0.0144472
191909,7.221086,9.422626000000001,1.94888,0.074907,0.00641909,0.00266534,0.00179035,0.00130855,0.00108433,0.000899273
191910,8.808871,5.693141000000005,1.94891,0.0874872,0.00682596,0.00282433,0.00189711,0.00138659,0.001149,0.000952902
191913,3.99277,7.616025999999995,1.94907,0.121748,0.0103908,0.00431464,0.00289821,0.00211828,0.00175531,0.00145574
191914,5.699065,5.303804999999996,1.94908,0.0529448,0.00422158,0.00175296,0.00117749,0.000860616,0.00071315,0.00059144
191915,0.859025,5.599999999999995,1.94911,0.63252,0.0570232,0.0232897,0.0154179,0.0111676,0.00921959,0.0076268
191916,6.482553,8.005816000000006,1.94924,0.0513565,0.00433581,0.00180042,0.00120936,0.000883917,0.000732458,0.000607452
191917,1.200463,3.8263680000000058,1.94925,0.0786167,0.00681557,0.00278351,0.00186889,0.00136592,0.00113187,0.000938696
191919,5.181272,6.308913999999995,1.9493,0.406127,0.0351041,0.014335,0.00962403,0.00703384,0.00582858,0.00483384
191920,5.183878,6.305844999999997,1.9493,0.618165,0.0503184,0.0206807,0.013891,0.0101528,0.00841312,0.00697729
191921,5.178741,6.304541999999998,1.9493,14.7367,1.26828,0.526644,0.353755,0.258557,0.214253,0.177688
191922,5.461501,10.789351999999997,1.94943,0.159888,0.0134037,0.00556576,0.0037386,0.00273252,0.0022643,0.00187786
191923,6.757899,5.535137999999998,1.94965,2.85141,0.244345,0.101255,0.0680085,0.0497063,0.0411891,0.0341595
191924,3.923212,9.777187,1.9497,0.0710303,0.00593994,0.00246652,0.0016568,0.00121094,0.00100345,0.000832193
191925,10.92325,7.989657000000005,1.94973,0.364412,0.0290408,0.0119344,0.00801394,0.00585712,0.00485349,0.00402516
